goal	rule	score
lives_in(X, stonegate_keep)	lives_in(petra_stoneward, stonegate_keep)	1
lives_in(H2, moonwatch_castle)	lives_in(selene_lunaris, moonwatch_castle)	1
parent(A, L3)	parent(cedric_thornvale, faye_thornvale)	1
lives_in(L3, stonegate_keep)	lives_in(galen_stoneward, stonegate_keep)	1
lives_in(C, A)	lives_in(darius_solaris, goldmarket)	1
lives_in(A, thornvale_manor)	lives_in(faye_thornvale, thornvale_manor)	1
lives_in(C, sunspire_keep)	lives_in(aelric_solaris, sunspire_keep)	1
market_in(B, A)	market_in(granite_guild, granite_bay)	1
resident_of(rhea_riverwyn, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
eligible_council(L2)	eligible_council(X) :- noble(X), adult(X)	1
parent(maeve_solaris, C)	parent(maeve_solaris, darius_solaris)	1
lives_in(C, A)	lives_in(iris_lunaris, moonwatch_castle)	1
road(riverlands, R)	road(riverlands, sunreach)	1
resident_of(B, A)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
member_of_house(B, house_riverwyn)	member_of_house(corin_riverwyn, house_riverwyn)	1
parent(B, C)	parent(lyra_thornvale, faye_thornvale)	1
parent(B, A)	parent(petra_stoneward, nash_stoneward)	1
parent(L, toren_emberfall)	parent(brom_emberfall, toren_emberfall)	1
parent(A, S)	parent(darian_stoneward, kara_stoneward)	1
member_of_house(H, A)	member_of_house(toren_emberfall, house_emberfall)	1
resident_of(caelan_solaris, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
located_in(A, D)	located_in(granite_bay, stonecoast)	1
lives_in(H, A)	lives_in(selene_lunaris, moonwatch_castle)	1
connected_region(A, G)	connected_region(A, B) :- road(A, B)	1
lives_in(R1, A)	lives_in(rhea_riverwyn, rivermeet_hall)	1
resident_of(sylvi_emberfall, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(L1, A)	lives_in(darius_solaris, goldmarket)	1
same_house(B, A)	same_house(X, Y) :- member_of_house(X, H), member_of_house(Y, H)	1
lives_in(C, granite_bay)	lives_in(nash_stoneward, granite_bay)	1
road(moonfen, A)	road(moonfen, riverlands)	1
lives_in(H, rivermeet_hall)	lives_in(corin_riverwyn, rivermeet_hall)	1
lives_in(L3, goldmarket)	lives_in(liora_solaris, goldmarket)	1
parent(C, A)	parent(evan_riverwyn, mira_riverwyn)	1
lives_in(L1, A)	lives_in(iris_lunaris, moonwatch_castle)	1
member_of_house(L3, A)	member_of_house(talia_lunaris, house_lunaris)	1
located_in(rivermeet_hall, A)	located_in(rivermeet_hall, riverlands)	1
member_of_house(B, house_emberfall)	member_of_house(brom_emberfall, house_emberfall)	1
road(riverlands, G)	road(riverlands, cinderlands)	1
road(moonfen, R)	road(moonfen, riverlands)	1
parent(X, D)	parent(tessa_stoneward, darian_stoneward)	1
lives_in(faye_thornvale, A)	lives_in(faye_thornvale, thornvale_manor)	1
member_of_house(H, H1)	member_of_house(kaela_emberfall, house_emberfall)	1
resident_of(H1, thornwood)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
member_of_house(H, A)	member_of_house(rowan_thornvale, house_thornvale)	1
parent(A, S)	parent(isolde_thornvale, lyra_thornvale)	1
lives_in(H1, A)	lives_in(toren_emberfall, emberfall_hold)	1
parent(A, R1)	parent(elara_solaris, aelric_solaris)	1
part_of(moonfen, northern_realm)	part_of(moonfen, northern_realm)	1
lives_in(H1, A)	lives_in(darius_solaris, goldmarket)	1
parent(R, A)	parent(theron_lunaris, cassian_lunaris)	1
adult(vessa_lunaris)	adult(X) :- age_group(X, adult)	1
serves(L, A)	serves(caelan_solaris, aelric_solaris)	1
female(A)	female(petra_stoneward)	1
located_in(A, S)	located_in(goldmarket, sunreach)	1
parent(cedric_thornvale, B)	parent(cedric_thornvale, wren_thornvale)	1
parent(A, L3)	parent(cassian_lunaris, talia_lunaris)	1
lives_in(A, emberfall_hold)	lives_in(myra_emberfall, emberfall_hold)	1
parent(A, B)	parent(toren_emberfall, sylvi_emberfall)	1
male(A)	male(caelan_solaris)	1
parent(B, A)	parent(evan_riverwyn, mira_riverwyn)	1
age_group(petra_stoneward, adult)	age_group(petra_stoneward, adult)	1
parent(B, C)	parent(orion_solaris, maeve_solaris)	1
